"District","DeathsCOVID","Nurses","Unemp","WomenOlder65"
"Letenyei",5.21,7.35441599251187,369.057966169686,14.7355753159056
"Lenti",3.5,10.3859188805073,227.396960752159,14.8737290915054
"Zalaegerszegi",3.66,6.25692364501703,227.403274114799,13.1292824026587
"Soproni",2.75,4.4213338972136,65.4549648696187,11.3512942013245
"Barcsi",4.44,6.87694846873281,676.691729323308,12.3509994498441
"Csurgói",4.75,7.1717303429391,615.46485852132,12.9417133915765
"Nagyatádi",5.86,8.40689365279529,707.860445565364,12.8625472887768
"Sellyei",4.13,10.0689334675858,824.103477654713,10.7427774765704
"Szentlőrinci",3.5,7.21084511104701,439.140467262763,10.6143640034612
"Szigetvári",5.51,7.11594809543742,806.613645876936,11.4273754709083
"Kaposvári",4.53,6.18412317318273,315.026509880956,13.3458834656554
"Pécsi",3.07,6.47475418853567,222.433590795535,13.2789759574614
"Hegyháti",7.26,8.66926744690074,623.320329432163,11.9115734720416
"Komlói",5.76,8.59686828369665,348.480196499846,14.4857230580289
"Siklósi",5.11,6.70221755981001,691.785412477781,12.705073287292
"Bólyi",2.76,7.93790792026813,338.684071264773,12.1185394249427
"Mohácsi",3.56,7.30349045981559,379.781503910411,14.1687714920422
"Pécsváradi",3.31,8.85347498893316,218.680832226649,13.6343514829571
"Bonyhádi",3.6,9.60779604021549,213.43032632193,13.4886593693168
"Szekszárdi",4.29,6.26846959792245,269.365093579296,13.9446583684069
"Nagykanizsai",4.6,7.09084462868519,340.6332669703,13.5544222325252
"Marcali",3.83,7.31997438008967,517.58318845884,13.3254033610882
"Keszthelyi",4.08,6.77966101694915,153.672316384181,14.4982023626091
"Zalaszentgróti",3.8,6.88752668916592,180.453199256147,13.7888284317102
"Tapolcai",5.55,5.50863018729343,205.655526992288,13.3553678540825
"Sümegi",5.98,5.48696844993141,284.636488340192,12.3045267489712
"Ajkai",4.36,5.33774586991913,204.969441404895,13.4190931169767
"Fonyódi",4.88,7.35113942661112,383.790737564322,14.1999509924038
"Dombóvári",4.41,6.98300801383301,369.101852159745,13.7831277225418
"Tabi",6.08,7.65761933123458,439.887688249809,14.5239513315749
"Balatonfüredi",4.42,5.34693373915189,171.924484843499,14.4696253033357
"Veszprémi",2.73,6.39921240462712,116.293379276397,11.8299286241693
"Siófoki",4.18,5.78447062453001,266.085648728381,14.1218209513526
"Balatonalmádi",4.14,5.04913193770148,185.2643026372,13.7103351846817
"Devecseri",8.16,7.90854842188511,363.074268459271,11.5321015170034
"Pápai",3.69,4.96198763047369,188.909957645891,12.4776267522019
"Kapuvári",1.74,5.33574125759317,80.446560499097,12.0054178295846
"Csornai",3.65,6.4367816091954,45.3639846743295,11.8927203065134
"Téti",1.9,6.01644494952871,72.8658332776255,10.5956280500033
"Zirci",4.94,5.31547334290119,183.383830330091,11.4973688406953
"Pannonhalmi",3.33,4.98970872575313,79.8353396120501,10.6904509449261
"Várpalotai",2.12,4.17118545090515,235.811017491171,12.0241372598092
"Győri",2.69,4.26759278335344,76.0808782411631,10.9265091091032
"Kisbéri",6.27,6.59697554044453,191.312290672892,11.0524713285294
"Oroszlányi",3.58,6.58991355583983,172.888320347327,10.954762181649
"Komáromi",3.54,7.00577976830885,158.130457627543,11.7722120749618
"Tamási",6.49,8.10418063939191,284.764140397943,13.3215962441315
"Tolnai",3.92,6.28033114473309,299.172138167285,13.0687981729946
"Paksi",4.71,6.3607836485455,237.469256212365,11.998558222373
"Érdi",3.07,3.45330968339429,70.7928485095829,10.364638108842
"Tatabányai",4.19,5.41354799227981,153.462316998541,11.5532175304806
"Tatai",3.12,6.13152112819989,148.689387358847,11.9539113995197
"Budakeszi",2.7,3.61960120511428,90.702947845805,10.0529100529101
"Pilisvörösvári",2.48,3.71865703357416,81.2792180195495,10.8478538036549
"Esztergomi",4.12,5.25100917832646,143.199396133945,12.3354957280852
"Ráckevei",5.11,5.30630654532912,201.109018067974,12.8651402191505
"Szigetszentmiklósi",3.4,4.000832173092,107.382335525789,9.52918206987053
"Gyáli",2.96,3.26522996548185,141.337811363,9.45517305718817
"Vecsési",3.09,3.96636522290973,100.547358400762,9.71362843090592
"Dabasi",3.42,4.59017702117469,247.470413315505,11.0044504759814
"Monori",3.63,4.34270985094699,150.313795808585,10.243191751653
"Szentendrei",2.4,3.81392798827217,97.7319046994744,11.1867275306008
"Dunakeszi",2.41,3.81732370905053,80.3951508421247,9.80820840273922
"Váci",3.81,4.06032482598608,126.595127610209,11.4037122969838
"Gödöllői",2.68,3.4815968048138,128.556319755106,10.2739950994883
"Aszódi",3.86,4.54606230779516,200.828987832598,11.129830191202
"Nagykőrösi",5.58,6.23509994498441,332.660920594168,12.1914542453695
"Kunszentmártoni",4.15,7.2256510612675,381.153093481861,13.3734758392293
"Orosházi",3.9,5.72859203937877,236.781804294322,14.2493422727658
"Mezőkovácsházai",4.53,8.59869077998447,499.833573726839,13.7634527904138
"Békéscsabai",3.7,6.23925638250462,281.657859553066,14.0217737314573
"Szarvasi",4.64,7.7008971545185,211.004582033807,14.5007893419583
"Mezőtúri",5.35,6.64322000781555,290.347792106291,13.3958577569363
"Békési",3.67,6.47115921993117,468.864899844104,13.3894167132394
"Gyomaendrődi",8.02,5.45578540577404,302.341441236645,13.9895430779723
"Ceglédi",2.84,4.55887213503379,244.583490044563,12.0490990528943
"Nagykátai",3.46,4.80182194844215,236.112444950541,11.66431148733
"Szolnoki",4.22,6.40176794029694,305.881733914462,13.2481518183652
"Jászapáti",3.83,7.39549839228296,381.672025723473,11.8745980707395
"Jászberényi",3.16,5.09903902726025,233.182977054324,12.4377328888017
"Hatvani",6.57,6.68543992220579,312.189785458155,13.3040254451895
"Gyöngyösi",5.64,7.54781469402868,262.179751918996,14.1642575371338
"Hevesi",4.99,7.07568029717857,676.611928417701,10.9407706595124
"Törökszentmiklósi",6.13,6.17465451337842,384.004704498677,12.2875624816231
"Kunhegyesi",5.09,6.12995504699632,749.89783408255,9.84879444217409
"Karcagi",4.84,5.72837538292944,449.552937660332,12.0096635202112
"Füzesabonyi",7.11,6.59928449862804,309.471709909347,12.1600500156299
"Tiszafüredi",5.71,7.12641157767789,441.289332310054,13.4524723166319
"Gyulai",5.22,5.22793810121288,215.652446675031,14.4944583856127
"Szeghalmi",4.14,5.4569266589057,340.87601862631,12.2380675203725
"Sarkadi",5.53,10.4186398939193,524.720591021027,12.4502746732336
"Mosonmagyaróvári",2.36,6.21302924006886,64.9779308023868,10.1634803318793
"Szobi",3.7,6.80081609793175,141.216946033524,12.7175261031324
"Rétsági",4.03,8.15594160345812,300.138651007259,11.8546611206264
"Balassagyarmati",5.22,6.19979513720416,443.150574154941,13.1651301956979
"Pásztói",4.14,6.30349678189901,468.117576803132,13.0084267799084
"Szécsényi",5.58,6.03732162458836,873.765093304061,12.3490669593853
"Salgótarjáni",4.14,7.37703511811834,625.503954433941,14.3131637187119
"Bátonyterenyei",4.36,7.56773119418798,586.751425256042,14.2374249533323
"Egri",4.33,5.8848255569567,287.876058367862,13.45223082928
"Pétervásárai",8.49,8.13628273582507,520.722095092804,16.7302313755403
"Bélapátfalvai",4.63,8.53554444579929,338.983050847458,15.5224972564321
